#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
368.441868,143,17.977862
374.154792,150,18.005349
342.119507,139,18.031084
343.659736,130,18.054474
106.403876,59,18.064967
315.919987,141,18.090821
333.865878,131,18.114458
255.098669,126,18.137793
87.109804,52,18.147214
239.502723,112,18.167467
208.084937,109,18.187556
554.070994,197,18.222789
68.163048,40,18.230131
271.361176,117,18.251438
330.499852,131,18.275612
343.325455,151,18.3044
344.695865,145,18.67503
335.632536,130,18.698321
312.997584,130,18.721743
318.695451,125,18.743912
281.448154,124,18.767962
339.45616,138,18.793601
346.818067,147,18.820056
353.625136,140,18.844753
272.320897,118,18.868415
365.02149,153,18.898827
374.58538,148,18.927003
257.79796,114,18.948214
303.152199,129,18.971468
329.57369,151,19.000525
399.046914,149,19.027669
106.691614,60,19.038718
320.140865,132,19.399687
369.031905,152,19.428836
322.188888,128,19.452239
353.052587,141,19.477699
302.776913,127,19.500674
325.23486,141,19.526693
331.456375,135,19.551779
313.285825,130,19.576709
327.265616,134,19.601675
383.206513,156,19.630394
320.73733,131,19.653993
318.900186,139,19.678715
348.234652,143,19.704192
365.006712,143,19.729918
321.266032,142,19.755875
337.6732,142,20.122452
160.677566,84,20.13812
349.832518,150,20.164934
372.102658,152,20.193073
199.208945,98,20.211059
306.849952,130,20.234361
308.209424,133,20.258348
344.487352,139,20.283415
323.012323,141,20.309082
369.894754,144,20.336493
318.108515,138,20.361527
341.087751,134,20.385244
309.211797,128,20.408205
469.774704,182,20.441654
307.919343,126,20.463948
349.553405,158,20.846412
339.387566,145,20.873535
328.85072,135,20.89821
380.035474,148,20.925251
335.124991,139,20.950695
332.164543,133,20.974854
388.056918,150,21.002327
305.614267,131,21.026277
332.258623,126,21.049757
337.334482,151,21.077612
435.810402,160,21.106151
135.604372,69,21.118669
332.19273,137,21.143823
327.030548,142,21.169628
169.933862,85,21.185287
345.955476,147,21.574283
262.161617,118,21.597379
220.084135,103,21.617386
342.198461,143,21.644558
342.264408,138,21.669267
254.291876,103,21.687855
556.303027,192,21.72229
279.36922,108,21.741807
342.167127,140,21.767553
326.480244,145,21.793626
296.8762,125,21.815993
325.393933,135,21.840157
278.28311,139,21.865824
334.703523,134,21.889772
338.501733,128,21.912743
306.434251,123,21.934817
343.397438,137,22.297417
229.312766,102,22.316254
312.849874,133,22.339997
311.768398,126,22.362231
244.778067,102,22.3809
326.887384,131,22.404705
347.77129,131,22.429223
229.132365,106,22.448576
434.993412,167,22.478921
362.401403,140,22.504103
318.107061,143,22.530148
330.628434,135,22.556423
355.986348,143,22.583935
446.503765,166,22.613827
331.676196,146,22.640204
389.550663,150,23.009394
436.419642,174,23.041348
309.272326,126,23.064621
397.567423,147,23.09184
279.746655,132,23.117262
350.577553,143,23.144051
521.599935,188,23.178941
332.584547,128,23.202591
308.924858,132,23.226962
375.670813,153,23.25461
352.512901,146,23.303974
326.344521,137,23.329416
233.329095,103,23.348726
276.16556,119,23.370367
346.07776,147,23.396962
378.181662,150,23.757018
454.581982,161,23.785756
105.723026,61,23.796405
372.358201,140,23.821345
333.119788,144,23.847694
457.410251,178,23.880102
343.262597,149,23.908046
361.029002,125,23.930069
335.784891,150,23.957214
209.27977,96,23.97446
278.284294,140,23.999652
349.492165,143,24.025214
792.826625,262,24.071761
337.439636,145,24.099626
380.038379,146,24.465314
387.865796,158,24.494268
419.010947,162,24.523257
353.129454,135,24.547957
359.159367,129,24.571186
392.788664,145,24.597957
662.471503,219,24.638797
574.578611,196,24.674096
849.68264,298,24.732768
509.172627,179,24.765763
366.612488,137,24.791122
343.497028,129,24.8146
172.056845,87,25.165567
203.473352,110,25.185391
363.691323,139,25.209822
597.174143,219,25.250959
640.811359,212,25.291049
557.243384,186,25.325268
384.407938,143,25.351097
132.327665,68,25.363705
422.642157,152,25.39087
867.496393,314,25.447065
629.683924,221,25.486131
488.032805,167,25.516318
209.526819,96,25.861646
646.407954,215,25.900354
522.534378,199,25.93643
377.613305,155,25.964719
588.480121,204,26.000474
274.212609,117,26.021903
372.193281,138,26.046886
1011.726722,361,26.110796
371.867303,154,26.138821
105.003907,64,26.150963
347.556686,143,26.179344
404.492068,145,26.205176
544.197901,203,26.596761
492.523318,194,26.633904
518.104752,170,26.666054
541.358963,187,26.701211
565.672565,204,26.74102
812.216247,307,26.80361
379.383632,140,26.832038
491.003489,187,26.869299
500.083232,174,26.901907
346.332944,138,26.927164
394.532895,162,26.958291
462.07112,159,27.401981
486.02265,184,27.444043
